Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DAFD0
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBB10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBB90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBC10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBC90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBD10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBD90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBE10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBE90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBF10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DBF90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC010
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC090
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC110
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC190
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC210
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC290
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC310
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC390
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC410
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC490
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC510
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC590
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC610
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC690
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC710
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC790
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC810
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC890
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC910
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DC990
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCA10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCA90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCB10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCB90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCC10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCC90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCD10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCD90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCE10
Values: Bottom:true	 Top:true	 Left:true	 Right:false	 Texture Type:003DCE90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCF10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DCF90
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003DD010
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD090
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD110
Values: Bottom:true	 Top:true	 Left:false	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD190
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003DD210
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD290
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD310
Values: Bottom:false	 Top:true	 Left:false	 Right:true	 Texture Type:003DD390
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD410
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003DD490
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD510
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003DD590
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD610
Values: Bottom:false	 Top:true	 Left:true	 Right:true	 Texture Type:003DD690
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD710
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD790
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003DD810
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD890
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DD910
Values: Bottom:false	 Top:true	 Left:false	 Right:true	 Texture Type:003DD990
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDA10
Values: Bottom:true	 Top:true	 Left:true	 Right:false	 Texture Type:003DDA90
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDB10
Values: Bottom:true	 Top:true	 Left:false	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDB90
Values: Bottom:false	 Top:true	 Left:false	 Right:true	 Texture Type:003DDC10
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDC90
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDD10
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDD90
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDE10
Values: Bottom:false	 Top:true	 Left:false	 Right:true	 Texture Type:003DDE50
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003DDE90
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5948
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5988
Values: Bottom:false	 Top:true	 Left:true	 Right:false	 Texture Type:003E59C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5A08
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003E5A48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5A88
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003E5AC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5B08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5B48
Values: Bottom:true	 Top:true	 Left:false	 Right:true	 Texture Type:003E5B88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5BC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5C08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5C48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5C88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5CC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5D08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5D48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5D88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5DC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5E08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5E48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5E88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5EC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5F08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5F48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5F88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E5FC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6008
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6048
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6088
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E60C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6108
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6148
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6188
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E61C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6208
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6248
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6288
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E62C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6308
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6348
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6388
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E63C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6408
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6448
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6488
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E64C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6508
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6548
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6588
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E65C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6608
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6648
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6688
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E66C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6708
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6748
Values: Bottom:true	 Top:true	 Left:true	 Right:false	 Texture Type:003E6788
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E67C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6808
Values: Bottom:false	 Top:false	 Left:false	 Right:true	 Texture Type:003E6848
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6888
Values: Bottom:true	 Top:true	 Left:true	 Right:false	 Texture Type:003E68C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6908
Values: Bottom:false	 Top:true	 Left:false	 Right:false	 Texture Type:003E6948
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6988
Values: Bottom:true	 Top:true	 Left:false	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E69C8
Values: Bottom:false	 Top:true	 Left:false	 Right:true	 Texture Type:003E6A08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6A48
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6A88
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6AC8
Values: Bottom:true	 Top:true	 Left:false	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6B08
Values: Bottom:false	 Top:false	 Left:false	 Right:false	 Texture Type:003E6B48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6B88
Values: Bottom:true	 Top:true	 Left:false	 Right:true	 Texture Type:003E6BC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6C08
Values: Bottom:false	 Top:true	 Left:true	 Right:false	 Texture Type:003E6C48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6C88
Values: Bottom:true	 Top:true	 Left:false	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6CC8
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003E6D08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6D48
Values: Bottom:false	 Top:true	 Left:true	 Right:false	 Texture Type:003E6D88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6DC8
Values: Bottom:true	 Top:true	 Left:false	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6E08
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003E6E48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6E88
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6EC8
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6F08
Values: Bottom:false	 Top:true	 Left:false	 Right:true	 Texture Type:003E6F48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6F88
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E6FC8
Values: Bottom:true	 Top:false	 Left:true	 Right:false	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7008
Values: Bottom:true	 Top:false	 Left:false	 Right:true	 Texture Type:003E7048
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7088
Values: Bottom:false	 Top:false	 Left:true	 Right:true	 Texture Type:00000000
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E70C8
Values: Bottom:false	 Top:true	 Left:true	 Right:true	 Texture Type:003E7108
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7148
Values: Bottom:false	 Top:false	 Left:true	 Right:false	 Texture Type:003E7188
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E71C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7208
Values: Bottom:true	 Top:true	 Left:false	 Right:true	 Texture Type:003E7248
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7288
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E72C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7308
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7348
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7388
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E73C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7408
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7448
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7488
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E74C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7508
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7548
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7588
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E75C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7608
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7648
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7688
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E76C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7708
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7748
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7788
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E77C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7808
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7848
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7888
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E78C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7908
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7948
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7988
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E79C8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7A08
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7A48
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7A88
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7AC8
Values: Bottom:true	 Top:true	 Left:true	 Right:true	 Texture Type:003E7B08
